author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308712844/;Долгопрудный;sale;flat;3;10;1;42.2;8300000;;Дирижабельная ;15Б;Долгопрудная;
Татьяна Свиридова;realtor;https://dolgoprudny.cian.ru/sale/flat/286565916/;Долгопрудный;sale;flat;12;20;2;40.0;8300000;;Гранитная ;6;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/307869466/;Долгопрудный;sale;flat;10;23;1;32.6;8225645;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307673422/;Долгопрудный;sale;flat;15;17;2;61.8;12750000;;Новый бульвар;15;Долгопрудная;
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304796958/;Долгопрудный;sale;flat;12;17;2;62.5;8900000;;Новое шоссе;12;Хлебниково;Хлебниково
;;https://dolgoprudny.cian.ru/sale/flat/308715954/;Долгопрудный;sale;flat;2;23;1;35.6;8748268;;;;Хлебниково;Бригантина ЖК
Павел Кулагин;realtor;https://dolgoprudny.cian.ru/sale/flat/308855190/;Долгопрудный;sale;flat;1;5;2;40.0;6400000;; Железнякова;7;Водники;
Парадайс;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308276417/;Долгопрудный;sale;flat;2;5;2;44.4;7400000;;Заводская ;9;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/306627931/;Долгопрудный;sale;flat;23;23;1;33.6;8625424;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308357995/;Долгопрудный;sale;flat;23;23;1;46.7;10600000;;Новый бульвар;5;Долгопрудная;Новый бульвар
ID 89919508;unknown;https://dolgoprudny.cian.ru/sale/flat/303906099/;Долгопрудный;sale;flat;4;23;1;30.0;5900000;;Парковая ;52к1;Водники;Бригантина
;;https://dolgoprudny.cian.ru/sale/flat/292583752/;Долгопрудный;sale;flat;2;23;2;42.2;8842402;;;;Водники;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307701789/;Долгопрудный;sale;flat;3;9;2;47.7;7200000;;Заводская ;15;Водники;
Галина Трофимцова;realtor;https://dolgoprudny.cian.ru/sale/flat/308057341/;Долгопрудный;sale;flat;17;23;2;35.2;7350000;;Парковая ;44к1;Водники;Бригантина
;;https://dolgoprudny.cian.ru/sale/flat/299389482/;Долгопрудный;sale;flat;5;23;2;60.0;12769592;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307446855/;Долгопрудный;sale;flat;2;9;2;43.8;8000000;; Циолковского;34;Долгопрудная;
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/302243443/;Долгопрудный;sale;flat;7;9;2;38.2;6500000;;Лихачевское шоссе;1б;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/294460580/;Долгопрудный;sale;flat;7;23;2;40.2;8776196;;;;Хлебниково;Бригантина ЖК
Николай Ларионов;realtor;https://dolgoprudny.cian.ru/sale/flat/307685496/;Долгопрудный;sale;flat;7;10;2;69.6;17800000;;проспект Пацаева;7к4;Водники;
Вячеслав Чекалин;realtor;https://dolgoprudny.cian.ru/sale/flat/302399780/;Долгопрудный;sale;flat;8;26;1;39.6;7400000;;Старое Дмитровское шоссе;11;Водники;Московские водники
;;https://dolgoprudny.cian.ru/sale/flat/296045599/;Долгопрудный;sale;flat;2;23;2;35.0;7448937;;;;Хлебниково;Бригантина ЖК
Марина Татаринцева;realtor;https://dolgoprudny.cian.ru/sale/flat/307004021/;Долгопрудный;sale;flat;2;9;2;42.1;8000000;; Академика Лаврентьева;23;Долгопрудная;
Ольга Викулова;realtor;https://dolgoprudny.cian.ru/sale/flat/308619317/;Долгопрудный;sale;flat;1;5;1;31.0;5550000;;Московское шоссе;47;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/306627911/;Долгопрудный;sale;flat;17;23;2;43.2;10615922;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308906370/;Долгопрудный;sale;flat;1;17;1;40.5;7800000;;Новый бульвар;23;Долгопрудная;
Елена Васильева;realtor;https://dolgoprudny.cian.ru/sale/flat/306098285/;Долгопрудный;sale;flat;3;5;2;45.0;6900000;;Московское шоссе;45;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/306627864/;Долгопрудный;sale;flat;2;23;2;60.8;14007111;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308703383/;Долгопрудный;sale;flat;3;3;1;34.3;6650000;;Нагорная ;7/11;Долгопрудная;
ID 13478206;realtor;https://dolgoprudny.cian.ru/sale/flat/302780059/;Долгопрудный;sale;flat;5;5;2;41.0;6550000;;Дирижабельная ;8;Долгопрудная;
Андрей Слободский;realtor;https://dolgoprudny.cian.ru/sale/flat/308044951/;Долгопрудный;sale;flat;21;24;1;32.0;6300000;;Парковая ;52;Водники;Бригантина
Дeльта;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303482954/;Долгопрудный;sale;flat;7;9;2;46.1;8000000;;Лихачевское шоссе;13к2;Долгопрудная;
Сергей Пчельников;realtor;https://dolgoprudny.cian.ru/sale/flat/305244870/;Долгопрудный;sale;flat;13;17;2;60.7;12900000;;Спортивная ;11Б;Долгопрудная;
Вариант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/299696215/;Долгопрудный;sale;flat;3;18;1;42.3;8500000;;Лихачевский проспект;68к5;Долгопрудная;
Наталья Сазанова;realtor;https://dolgoprudny.cian.ru/sale/flat/308646150/;Долгопрудный;sale;flat;7;19;1;45.0;9500000;;проспект Ракетостроителей;9к3;Долгопрудная;
Доступная Недвижимость Офис Сретенский;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/305265769/;Долгопрудный;sale;flat;2;5;2;38.5;6700000;;Московское шоссе;37;Долгопрудная;
Елена Васильева;realtor;https://dolgoprudny.cian.ru/sale/flat/307103238/;Долгопрудный;sale;flat;2;5;2;42.0;6850000;;Советская ;8/8;Долгопрудная;
ID 5282;realtor;https://dolgoprudny.cian.ru/sale/flat/296931864/;Долгопрудный;sale;flat;3;3;2;42.0;5800000;;Речная ;6а;Водники;
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308289168/;Долгопрудный;sale;flat;6;18;2;59.91;13000000;;Набережная ;31;Водники;Московские водники
ID 130176;realtor;https://dolgoprudny.cian.ru/sale/flat/301546825/;Долгопрудный;sale;flat;4;5;2;43.0;7200000;;Нагорная ;8;Долгопрудная;
Иван Усачев;realtor;https://dolgoprudny.cian.ru/sale/flat/299450147/;Долгопрудный;sale;flat;1;5;2;42.0;6499000;;Лихачевское шоссе;29;Долгопрудная;
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303908399/;Долгопрудный;sale;flat;7;9;2;40.3;9200000;;Лихачевское шоссе;1в;Долгопрудная;
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308768316/;Долгопрудный;sale;flat;10;19;1;47.0;8800000;;проспект Ракетостроителей;1к1;Долгопрудная;
ID 92940259;unknown;https://dolgoprudny.cian.ru/sale/flat/291647068/;Долгопрудный;sale;flat;20;23;1;35.2;8800222;;Парковая ;48;Долгопрудная;Бригантина
Октава-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/293992354/;Долгопрудный;sale;flat;8;23;2;50.5;10850000;;Старое Дмитровское шоссе;11;Водники;Московские водники
ID 50041501;realtor;https://dolgoprudny.cian.ru/sale/flat/307229106/;Долгопрудный;sale;flat;11;18;2;45.0;9300000;;Московская ;56к1;Водники;Московские водники
Наталья Козлова;realtor;https://dolgoprudny.cian.ru/sale/flat/303941929/;Долгопрудный;sale;flat;3;5;2;45.7;6700000;;Нагорная ;4;Долгопрудная;
ID 12519267;unknown;https://dolgoprudny.cian.ru/sale/flat/302092754/;Долгопрудный;sale;flat;11;17;1;44.0;8600000;;Новый бульвар;15;Долгопрудная;
Евгений Подгорнов;realtor;https://dolgoprudny.cian.ru/sale/flat/306393567/;Долгопрудный;sale;flat;6;19;1;44.6;8800000;;проспект Ракетостроителей;9к1;Долгопрудная;
АЛЬЯНС;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307741827/;Долгопрудный;sale;flat;2;9;2;45.0;9100000;мкр. Гранитный;Молодежная ;20;;
Игорь Смирнов;realtor;https://dolgoprudny.cian.ru/sale/flat/308437368/;Долгопрудный;sale;flat;1;2;1;31.5;6000000;;Заводская ;8;Водники;
Самолет Плюс МСК-Север;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308459115/;Долгопрудный;sale;flat;3;21;1;44.7;9300000;;проспект Ракетостроителей;3;Долгопрудная;
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306017108/;Долгопрудный;sale;flat;2;2;2;37.0;4800000;; 25-го съезда;14;Шереметьевская;
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306505296/;Долгопрудный;sale;flat;5;9;2;43.8;8050000;;Лихачевское шоссе;20к1;Водники;
Наталья Гунькина;realtor;https://dolgoprudny.cian.ru/sale/flat/304367347/;Долгопрудный;sale;flat;13;19;1;42.0;9000000;;бульвар Имени Умберто Нобиле;1;Долгопрудная;
ID 41050977;homeowner;https://dolgoprudny.cian.ru/sale/flat/296938375/;Долгопрудный;sale;flat;1;3;2;43.0;5500000;;Железнодорожная ;28;Хлебниково;
СМАРЕНТ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307418536/;Долгопрудный;sale;flat;5;5;2;44.0;7300000;;Нагорная ;4;Долгопрудная;
Елена Шишканова;realtor;https://dolgoprudny.cian.ru/sale/flat/305555243/;Долгопрудный;sale;flat;8;9;2;47.0;7800000;;Лихачевское шоссе;13к2;Долгопрудная;
Алевтина Исламгулова;realtor;https://dolgoprudny.cian.ru/sale/flat/307340053/;Долгопрудный;sale;flat;3;17;2;57.0;11300000;;Парковая ;32А;Водники;
ID 13328470;homeowner;https://dolgoprudny.cian.ru/sale/flat/304872221/;Долгопрудный;sale;flat;11;17;2;61.7;10500000;;Госпитальная ;10;Хлебниково;
Денис Циликин;realtor;https://dolgoprudny.cian.ru/sale/flat/306152385/;Долгопрудный;sale;flat;7;17;2;56.0;10999999;;Новое шоссе;10;Хлебниково;Хлебниково
ID 89919508;unknown;https://dolgoprudny.cian.ru/sale/flat/308686439/;Долгопрудный;sale;flat;1;5;2;41.1;7350000;;Первомайская ;17А;Долгопрудная;
Аида Кудякова;realtor;https://dolgoprudny.cian.ru/sale/flat/308590841/;Долгопрудный;sale;flat;7;9;2;44.5;8900000;; Академика Лаврентьева;21;Долгопрудная;
Городской Центр Недвижимости;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307917525/;Долгопрудный;sale;flat;3;9;2;49.5;8600000;мкр. Гранитный;Молодежная ;20;;
РиэлтиГлобал;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304367393/;Долгопрудный;sale;flat;1;2;1;31.7;5600000;; Павлова;10;Долгопрудная;
ID 22641511;homeowner;https://dolgoprudny.cian.ru/sale/flat/269002829/;Долгопрудный;sale;flat;5;5;2;42.0;8700000;; Циолковского;9;Долгопрудная;
Валерий Петров;realtor;https://dolgoprudny.cian.ru/sale/flat/295073194/;Долгопрудный;sale;flat;3;9;1;37.0;7500000;; Академика Лаврентьева;5;Водники;
Елена Алексеева;realtor;https://dolgoprudny.cian.ru/sale/flat/292177632/;Долгопрудный;sale;flat;6;9;2;46.9;7700000;;Лихачевское шоссе;21;Водники;
Павел Михайлович Ткачёв;realtor;https://dolgoprudny.cian.ru/sale/flat/304948377/;Долгопрудный;sale;flat;17;23;2;50.6;9900000;;Старое Дмитровское шоссе;11;Водники;Московские водники
ID 12369177;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/295845451/;Долгопрудный;sale;flat;3;16;2;56.0;11200000;;Новый бульвар;22;Долгопрудная;
Александр Филатов;realtor;https://dolgoprudny.cian.ru/sale/flat/304027566/;Долгопрудный;sale;flat;2;9;1;32.7;7500000;;Дирижабельная ;13;Долгопрудная;
ОЛИМП-НЕДВИЖИМОСТЬ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303934473/;Долгопрудный;sale;flat;5;5;2;41.1;7600000;;Лихачевское шоссе;8к3;Долгопрудная;
Ирина Котурга;realtor;https://dolgoprudny.cian.ru/sale/flat/308161378/;Долгопрудный;sale;flat;5;25;2;65.8;13100000;;Новый бульвар;11;Долгопрудная;мкр. Центральный корп. 9, 10, 11
ID 72329732;realtor;https://dolgoprudny.cian.ru/sale/flat/299289712/;Долгопрудный;sale;flat;5;5;2;54.1;7900000;;Восточная ;33;Долгопрудная;
Татьяна Калюжная;realtor;https://dolgoprudny.cian.ru/sale/flat/307195532/;Долгопрудный;sale;flat;3;9;2;63.0;14650000;; Циолковского;28;Долгопрудная;
ID 11388;realtor;https://dolgoprudny.cian.ru/sale/flat/296386898/;Долгопрудный;sale;flat;17;19;2;60.0;11500000;;Спортивная ;11Б;Долгопрудная;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306389796/;Долгопрудный;sale;flat;5;13;2;35.7;6990000;;;;Водники;Бригантина ЖК
Градомиръ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303064000/;Долгопрудный;sale;flat;1;4;2;44.4;5340000;;Флотская ;2;Водники;
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308882940/;Долгопрудный;sale;flat;3;5;2;43.5;9150000;; Циолковского;13;Долгопрудная;
Виктор Клевицкий;realtor;https://dolgoprudny.cian.ru/sale/flat/301375247/;Долгопрудный;sale;flat;2;3;2;49.4;10350000;;Первомайская ;29;Долгопрудная;
Александра Тимофеева;realtor;https://dolgoprudny.cian.ru/sale/flat/305831969/;Долгопрудный;sale;flat;1;9;1;36.0;6400000;; Академика Лаврентьева;1;Водники;
