author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/308884460/;Зеленоград;sale;flat;2;20;2;46.3;18983000;;;;;Новая Ливадия
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Зеленоград;sale;flat;10;20;3;110.7;122000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 18174647;realtor;https://www.cian.ru/sale/flat/301450189/;Зеленоград;sale;flat;26;31;5;246.7;286355351;Очаково-Матвеевское;Нежинская ;1к1;Давыдково;Кутузовская Ривьера
Дипломат;developer;https://krym.cian.ru/sale/flat/292125018/;Зеленоград;sale;flat;2;8;2;66.0;22622160;;;;;Резиденция Дипломат
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306604445/;Зеленоград;sale;flat;6;7;4;160.0;99999000;Тверской;Тверская ;27С2;Маяковская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/275836899/;Зеленоград;sale;flat;11;12;5;303.0;528508199;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Зеленоград;sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Зеленоград;sale;flat;80;85;4;294.6;412440000;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308071697/;Зеленоград;sale;flat;2;4;4;210.0;125970000;Тверской;Петровский переулок;5С4;Пушкинская;
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Зеленоград;sale;flat;2;5;1;65.7;24860880;;;;;Резиденция Дипломат
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Зеленоград;sale;flat;2;10;3;115.0;101000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Светлана Анисимова;realtor;https://www.cian.ru/sale/flat/308703083/;Зеленоград;sale;flat;21;31;2;55.7;21990000;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского;Преображение
Неометрия;developer;https://sochi.cian.ru/sale/flat/302445049/;Зеленоград;sale;flat;2;10;2;33.0;31491900;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679511/;Зеленоград;sale;flat;11;20;4;90.71;32501393;Даниловский;Автозаводская ;26;Тульская;FORST
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Зеленоград;sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540476/;Зеленоград;sale;flat;2;16;2;64.3;6751500;Прикубанский; Западный обход;65/1;;Cармат
Рента;real_estate_agent;https://www.cian.ru/sale/flat/307983948/;Зеленоград;sale;flat;3;9;5;234.8;125000000;Тверской;Краснопролетарская ;7;Новослободская;Ласточкино гнездо
ID 111783;homeowner;https://www.cian.ru/sale/flat/307780900/;Зеленоград;sale;flat;5;14;3;104.0;29600000;Коптево; Космонавта Волкова;29К1;Красный Балтиец;
Интеллект;developer;https://krym.cian.ru/sale/flat/306043753/;Зеленоград;sale;flat;5;13;2;36.33;12249111;;;;;Парковая Резиденция
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307770341/;Зеленоград;sale;flat;9;18;4;176.6;98000000;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307823693/;Зеленоград;sale;flat;11;15;4;103.7;50000000;Замоскворечье;Валовая ;6;Павелецкая;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302444728/;Зеленоград;sale;flat;8;10;1;22.2;26140500;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308881807/;Зеленоград;sale;flat;9;11;4;169.5;79970000;Хорошевский; Куусинена;21А;Зорге;
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Зеленоград;sale;flat;1;5;3;65.1;17500000;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540724/;Зеленоград;sale;flat;2;16;1;37.9;5306000;Прикубанский; Западный обход;65/1;;Cармат
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308710833/;Зеленоград;sale;flat;3;10;4;180.0;212000000;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Зеленоград;sale;flat;3;24;2;53.2;19570000;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Зеленоград;sale;flat;2;13;1;38.3;12928244;;;;;Парковая Резиденция
